"","ID","AIClogistic","BIClogistic","AICgompertz","BICgompertz","AICbaranyi","BICbaranyi","AICbuchanan","BICbuchanan"
"193","Escherichia coli_30_Vacuum Beef Striploins","2.94176573861367","2.10880361552589","-9.43305216244911","-10.4742548163088","-11.7706413905539","-12.8118440444137","-16.9121969826825","-17.9533996365423"
"194","Salmonella Typhimurium_30_Vacuum Beef Striploins","-5.24613225078916","-6.07909437387694","-16.3761964051917","-17.4173990590514","-26.3785142238608","-27.4197168777205","-14.6953004460876","-15.7365030999474"
"195","Spoilage_30_C02 Beef Striploins","-22.7514603104268","-22.9678197142056","-27.4519676899937","-27.7224169447171","-27.902841626314","-28.1732908810374","NA","NA"
"196","Escherichia coli_30_C02 Beef Striploins","-10.9325332802881","-11.1488926840668","-24.0701045784382","-24.3405538331616","-22.0610776961615","-22.331526950885","NA","NA"
"197","Salmonella Typhimurium_30_C02 Beef Striploins","-6.68525994321809","-6.90161934699683","-5.39048050580564","-5.66092976052907","-7.99330066307558","-8.26374991779901","NA","NA"
"198","Serratia marcescens_6_Pasteurised Skim Milk","-8.41528505747821","-9.248247180566","-10.0262571201668","-11.0674597740265","-10.9650968828727","-12.0062995367325","-8.51651192085334","-9.55771457471307"
"199","Serratia marcescens_6_UHT Skim Milk","25.3120881128423","25.0957287090636","-7.0349804987068","-7.30542975343024","-4.91043315417594","-5.18088240889937","-3.00132627167123","-3.27177552639466"
"200","Serratia marcescens_6_Pasteurised Full-fat Milk","-10.5111879322933","-10.727547336072","-10.5668401762109","-10.8372894309344","-8.62061108271041","-8.89106033743384","-6.36684750358607","-6.63729675830951"
"201","Serratia marcescens_6_UHT Full-fat Milk","-10.3134398650239","-10.5297992688027","-3.21859815394936","-3.48904740867279","-6.13217949287795","-6.40262874760139","-0.778092864551525","-1.04854211927496"
"202","Serratia marcescens_10_Pasteurised Full-fat Milk","-3.33309374579053","-4.89534209605413","-3.89242139475727","-5.84523183258677","-1.32370123727774","-3.27651167510724","2.48055919673427","0.527748758904776"
"203","Serratia marcescens_15_UHT Full-fat Milk","21.8147190267613","20.9817569036735","-8.20259210244906","-9.24379475630879","-1.16860942847068","-2.2098120823304","NA","NA"
